pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,605400,663993,home_run,hit_into_play,Nathaniel Lowe homers (2) on a fly ball to center field. Keibert Ruiz scores.,2025,4-Seam Fastball
FF,605400,663993,No event,ball,Nathaniel Lowe homers (2) on a fly ball to center field. Keibert Ruiz scores.,2025,4-Seam Fastball
FF,605400,663993,No event,foul,Nathaniel Lowe homers (2) on a fly ball to center field. Keibert Ruiz scores.,2025,4-Seam Fastball
SI,605400,663993,No event,swinging_strike,Nathaniel Lowe homers (2) on a fly ball to center field. Keibert Ruiz scores.,2025,Sinker
KC,605400,663993,No event,called_strike,Nathaniel Lowe homers (2) on a fly ball to center field. Keibert Ruiz scores.,2025,Knuckle Curve
CH,605400,663993,No event,ball,Nathaniel Lowe homers (2) on a fly ball to center field. Keibert Ruiz scores.,2025,Changeup
KC,605400,663993,No event,ball,Nathaniel Lowe homers (2) on a fly ball to center field. Keibert Ruiz scores.,2025,Knuckle Curve
CH,605400,660688,single,hit_into_play,Keibert Ruiz singles on a sharp line drive to right fielder Nick Castellanos.,2025,Changeup
CH,605400,660688,No event,ball,Keibert Ruiz singles on a sharp line drive to right fielder Nick Castellanos.,2025,Changeup
KC,605400,671277,field_out,hit_into_play,Luis García Jr. flies out sharply to center fielder Johan Rojas.,2025,Knuckle Curve
FF,605400,671277,No event,foul,Luis García Jr. flies out sharply to center fielder Johan Rojas.,2025,4-Seam Fastball
KC,605400,671277,No event,foul,Luis García Jr. flies out sharply to center fielder Johan Rojas.,2025,Knuckle Curve
KC,605400,671277,No event,foul,Luis García Jr. flies out sharply to center fielder Johan Rojas.,2025,Knuckle Curve
KC,605400,671277,No event,ball,Luis García Jr. flies out sharply to center fielder Johan Rojas.,2025,Knuckle Curve
SI,605400,671277,No event,foul,Luis García Jr. flies out sharply to center fielder Johan Rojas.,2025,Sinker
SI,605400,671277,No event,called_strike,Luis García Jr. flies out sharply to center fielder Johan Rojas.,2025,Sinker
FC,605400,671277,No event,ball,Luis García Jr. flies out sharply to center fielder Johan Rojas.,2025,Cutter
CH,605400,671277,No event,swinging_strike,Luis García Jr. flies out sharply to center fielder Johan Rojas.,2025,Changeup
CH,605400,671277,No event,ball,Luis García Jr. flies out sharply to center fielder Johan Rojas.,2025,Changeup
SI,605400,695578,strikeout,called_strike,James Wood called out on strikes.,2025,Sinker
FF,605400,695578,No event,foul,James Wood called out on strikes.,2025,4-Seam Fastball
FF,605400,695578,No event,swinging_strike,James Wood called out on strikes.,2025,4-Seam Fastball
KC,605400,695578,No event,called_strike,James Wood called out on strikes.,2025,Knuckle Curve
CH,605400,695578,No event,ball,James Wood called out on strikes.,2025,Changeup
FF,605400,695578,No event,ball,James Wood called out on strikes.,2025,4-Seam Fastball
KC,605400,682928,field_out,hit_into_play,CJ Abrams grounds out to first baseman Bryce Harper.,2025,Knuckle Curve
FC,605400,682928,No event,swinging_strike,CJ Abrams grounds out to first baseman Bryce Harper.,2025,Cutter
CH,605400,682928,No event,foul,CJ Abrams grounds out to first baseman Bryce Harper.,2025,Changeup
CH,605400,682928,No event,ball,CJ Abrams grounds out to first baseman Bryce Harper.,2025,Changeup
CH,605400,696285,field_out,hit_into_play,"Jacob Young grounds out softly, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Changeup
SI,605400,696285,No event,ball,"Jacob Young grounds out softly, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Sinker
CH,605400,686611,strikeout,swinging_strike,Dylan Crews strikes out swinging.,2025,Changeup
CH,605400,686611,No event,swinging_strike,Dylan Crews strikes out swinging.,2025,Changeup
SI,605400,686611,No event,called_strike,Dylan Crews strikes out swinging.,2025,Sinker
KC,605400,657557,double,hit_into_play,Paul DeJong doubles (1) on a ground ball to left fielder Brandon Marsh.,2025,Knuckle Curve
KC,605400,657557,No event,ball,Paul DeJong doubles (1) on a ground ball to left fielder Brandon Marsh.,2025,Knuckle Curve
FF,605400,605137,home_run,hit_into_play,Josh Bell homers (1) on a fly ball to center field. Keibert Ruiz scores. Nathaniel Lowe scores.,2025,4-Seam Fastball
KC,605400,663993,single,hit_into_play,Nathaniel Lowe singles on a sharp line drive to right fielder Nick Castellanos. Keibert Ruiz to 2nd.,2025,Knuckle Curve
FF,605400,663993,No event,foul,Nathaniel Lowe singles on a sharp line drive to right fielder Nick Castellanos. Keibert Ruiz to 2nd.,2025,4-Seam Fastball
FF,605400,663993,No event,foul,Nathaniel Lowe singles on a sharp line drive to right fielder Nick Castellanos. Keibert Ruiz to 2nd.,2025,4-Seam Fastball
KC,605400,663993,No event,called_strike,Nathaniel Lowe singles on a sharp line drive to right fielder Nick Castellanos. Keibert Ruiz to 2nd.,2025,Knuckle Curve
FC,605400,663993,No event,ball,Nathaniel Lowe singles on a sharp line drive to right fielder Nick Castellanos. Keibert Ruiz to 2nd.,2025,Cutter
FF,605400,663993,No event,ball,Nathaniel Lowe singles on a sharp line drive to right fielder Nick Castellanos. Keibert Ruiz to 2nd.,2025,4-Seam Fastball
FC,605400,660688,hit_by_pitch,hit_by_pitch,Keibert Ruiz hit by pitch.,2025,Cutter
FC,605400,660688,No event,ball,Keibert Ruiz hit by pitch.,2025,Cutter
KC,605400,660688,No event,called_strike,Keibert Ruiz hit by pitch.,2025,Knuckle Curve
CH,605400,671277,field_out,hit_into_play,"Luis García Jr. grounds out, second baseman Bryson Stott to first baseman Bryce Harper.",2025,Changeup
SI,605400,695578,strikeout,called_strike,James Wood called out on strikes.,2025,Sinker
KC,605400,695578,No event,ball,James Wood called out on strikes.,2025,Knuckle Curve
FC,605400,695578,No event,foul,James Wood called out on strikes.,2025,Cutter
FF,605400,695578,No event,ball,James Wood called out on strikes.,2025,4-Seam Fastball
KC,605400,695578,No event,called_strike,James Wood called out on strikes.,2025,Knuckle Curve
SI,605400,682928,strikeout,called_strike,CJ Abrams called out on strikes.,2025,Sinker
SI,605400,682928,No event,foul,CJ Abrams called out on strikes.,2025,Sinker
FF,605400,682928,No event,called_strike,CJ Abrams called out on strikes.,2025,4-Seam Fastball
FC,605400,682928,No event,ball,CJ Abrams called out on strikes.,2025,Cutter
FF,605400,682928,No event,ball,CJ Abrams called out on strikes.,2025,4-Seam Fastball
FF,605400,696285,sac_bunt,hit_into_play,Jacob Young out on a sacrifice bunt to first baseman Bryce Harper. Paul DeJong to 2nd.,2025,4-Seam Fastball
CH,605400,686611,strikeout,swinging_strike_blocked,Dylan Crews strikes out swinging.,2025,Changeup
SI,605400,686611,No event,swinging_strike,Dylan Crews strikes out swinging.,2025,Sinker
FF,605400,686611,No event,called_strike,Dylan Crews strikes out swinging.,2025,4-Seam Fastball
SI,605400,657557,single,hit_into_play,Paul DeJong singles on a ground ball to left fielder Brandon Marsh.,2025,Sinker
FF,605400,657557,No event,foul,Paul DeJong singles on a ground ball to left fielder Brandon Marsh.,2025,4-Seam Fastball
CH,605400,657557,No event,ball,Paul DeJong singles on a ground ball to left fielder Brandon Marsh.,2025,Changeup
FF,605400,657557,No event,foul,Paul DeJong singles on a ground ball to left fielder Brandon Marsh.,2025,4-Seam Fastball
KC,605400,657557,No event,ball,Paul DeJong singles on a ground ball to left fielder Brandon Marsh.,2025,Knuckle Curve
FF,605400,657557,No event,foul_tip,Paul DeJong singles on a ground ball to left fielder Brandon Marsh.,2025,4-Seam Fastball
KC,605400,657557,No event,ball,Paul DeJong singles on a ground ball to left fielder Brandon Marsh.,2025,Knuckle Curve
SI,605400,657557,No event,swinging_strike,Paul DeJong singles on a ground ball to left fielder Brandon Marsh.,2025,Sinker
KC,605400,605137,strikeout,swinging_strike,Josh Bell strikes out swinging.,2025,Knuckle Curve
SI,605400,605137,No event,ball,Josh Bell strikes out swinging.,2025,Sinker
FC,605400,605137,No event,called_strike,Josh Bell strikes out swinging.,2025,Cutter
CH,605400,605137,No event,swinging_strike,Josh Bell strikes out swinging.,2025,Changeup
CH,605400,605137,No event,ball,Josh Bell strikes out swinging.,2025,Changeup
KC,605400,663993,strikeout,swinging_strike_blocked,"Nathaniel Lowe strikes out swinging, catcher Rafael Marchán to first baseman Bryce Harper.",2025,Knuckle Curve
FC,605400,663993,No event,foul,"Nathaniel Lowe strikes out swinging, catcher Rafael Marchán to first baseman Bryce Harper.",2025,Cutter
FF,605400,663993,No event,ball,"Nathaniel Lowe strikes out swinging, catcher Rafael Marchán to first baseman Bryce Harper.",2025,4-Seam Fastball
FF,605400,663993,No event,called_strike,"Nathaniel Lowe strikes out swinging, catcher Rafael Marchán to first baseman Bryce Harper.",2025,4-Seam Fastball
CH,605400,660688,field_out,hit_into_play,Keibert Ruiz flies out to right fielder Nick Castellanos.,2025,Changeup
FF,605400,660688,No event,ball,Keibert Ruiz flies out to right fielder Nick Castellanos.,2025,4-Seam Fastball
KC,605400,660688,No event,called_strike,Keibert Ruiz flies out to right fielder Nick Castellanos.,2025,Knuckle Curve
KC,605400,671277,strikeout,swinging_strike_blocked,"Luis García Jr. strikes out swinging, catcher Rafael Marchán to first baseman Bryce Harper.",2025,Knuckle Curve
CH,605400,671277,No event,ball,"Luis García Jr. strikes out swinging, catcher Rafael Marchán to first baseman Bryce Harper.",2025,Changeup
