pitch_type,player_name,pitcher,batter,events,description,des,game_year,pitch_name
FC,"Lazar, Max",676661,672018,field_out,hit_into_play,"Dasan Brown grounds out, catcher Rafael Marchán to first baseman Buddy Kennedy.",2025,Cutter
FC,"Lazar, Max",676661,682942,double,hit_into_play,Alex De Jesus doubles (1) on a line drive to center fielder Óscar Mercado.,2025,Cutter
FF,"Lazar, Max",676661,682942,No event,called_strike,Alex De Jesus doubles (1) on a line drive to center fielder Óscar Mercado.,2025,4-Seam Fastball
FC,"Lazar, Max",676661,678742,field_out,hit_into_play,"Rainer Nunez grounds out, second baseman Kody Clemens to first baseman Buddy Kennedy.",2025,Cutter
FC,"Lazar, Max",676661,678742,No event,ball,"Rainer Nunez grounds out, second baseman Kody Clemens to first baseman Buddy Kennedy.",2025,Cutter
FF,"Lazar, Max",676661,682796,field_out,hit_into_play,Eddinson Paulino flies out to right fielder Gabriel Rincones Jr.,2025,4-Seam Fastball
FF,"Lazar, Max",676661,685382,single,hit_into_play,Andrew Navigato singles on a ground ball to center fielder Óscar Mercado.,2025,4-Seam Fastball
FC,"Lazar, Max",676661,685382,No event,ball,Andrew Navigato singles on a ground ball to center fielder Óscar Mercado.,2025,Cutter
CU,"Lazar, Max",676661,685382,No event,foul,Andrew Navigato singles on a ground ball to center fielder Óscar Mercado.,2025,Curveball
FF,"Lazar, Max",676661,685382,No event,foul,Andrew Navigato singles on a ground ball to center fielder Óscar Mercado.,2025,4-Seam Fastball
FF,"Lazar, Max",676661,685382,No event,ball,Andrew Navigato singles on a ground ball to center fielder Óscar Mercado.,2025,4-Seam Fastball
SL,"Lazar, Max",676661,685382,No event,ball,Andrew Navigato singles on a ground ball to center fielder Óscar Mercado.,2025,Slider
FC,"Lazar, Max",676661,685382,No event,swinging_strike,Andrew Navigato singles on a ground ball to center fielder Óscar Mercado.,2025,Cutter
FF,"Lazar, Max",676661,685382,No event,called_strike,Andrew Navigato singles on a ground ball to center fielder Óscar Mercado.,2025,4-Seam Fastball
FF,"Lazar, Max",676661,621512,home_run,hit_into_play,Tomás Nido homers (1) on a line drive to center field. Thayron Liranzo scores.,2025,4-Seam Fastball
FC,"Lazar, Max",676661,621512,No event,blocked_ball,Tomás Nido homers (1) on a line drive to center field. Thayron Liranzo scores.,2025,Cutter
FF,"Lazar, Max",676661,701678,strikeout,swinging_strike,Hao-Yu Lee strikes out swinging.,2025,4-Seam Fastball
FC,"Lazar, Max",676661,701678,No event,blocked_ball,Hao-Yu Lee strikes out swinging.,2025,Cutter
FC,"Lazar, Max",676661,701678,No event,foul,Hao-Yu Lee strikes out swinging.,2025,Cutter
FF,"Lazar, Max",676661,701678,No event,ball,Hao-Yu Lee strikes out swinging.,2025,4-Seam Fastball
FF,"Lazar, Max",676661,701678,No event,foul,Hao-Yu Lee strikes out swinging.,2025,4-Seam Fastball
FF,"Lazar, Max",676661,699073,triple,hit_into_play,Thayron Liranzo triples (1) on a ground ball to right fielder Gabriel Rincones Jr. Jace Jung scores.,2025,4-Seam Fastball
FF,"Lazar, Max",676661,699073,No event,called_strike,Thayron Liranzo triples (1) on a ground ball to right fielder Gabriel Rincones Jr. Jace Jung scores.,2025,4-Seam Fastball
CU,"Lazar, Max",676661,699073,No event,ball,Thayron Liranzo triples (1) on a ground ball to right fielder Gabriel Rincones Jr. Jace Jung scores.,2025,Curveball
CU,"Lazar, Max",676661,699073,No event,ball,Thayron Liranzo triples (1) on a ground ball to right fielder Gabriel Rincones Jr. Jace Jung scores.,2025,Curveball
FF,"Lazar, Max",676661,690291,walk,ball,Jace Jung walks.,2025,4-Seam Fastball
FF,"Lazar, Max",676661,690291,No event,ball,Jace Jung walks.,2025,4-Seam Fastball
FF,"Lazar, Max",676661,690291,No event,foul,Jace Jung walks.,2025,4-Seam Fastball
CU,"Lazar, Max",676661,690291,No event,ball,Jace Jung walks.,2025,Curveball
FF,"Lazar, Max",676661,690291,No event,ball,Jace Jung walks.,2025,4-Seam Fastball
FF,"Lazar, Max",676661,656716,field_out,hit_into_play,"Zach McKinstry grounds out, shortstop Rodolfo Castro to first baseman Kody Clemens.",2025,4-Seam Fastball
FF,"Lazar, Max",676661,656716,No event,ball,"Zach McKinstry grounds out, shortstop Rodolfo Castro to first baseman Kody Clemens.",2025,4-Seam Fastball
CU,"Lazar, Max",676661,656716,No event,foul,"Zach McKinstry grounds out, shortstop Rodolfo Castro to first baseman Kody Clemens.",2025,Curveball
CU,"Lazar, Max",676661,656716,No event,called_strike,"Zach McKinstry grounds out, shortstop Rodolfo Castro to first baseman Kody Clemens.",2025,Curveball
FF,"Lazar, Max",676661,702302,strikeout,swinging_strike,RJ Schreck strikes out swinging.,2025,4-Seam Fastball
CU,"Lazar, Max",676661,702302,No event,foul,RJ Schreck strikes out swinging.,2025,Curveball
FF,"Lazar, Max",676661,702302,No event,foul,RJ Schreck strikes out swinging.,2025,4-Seam Fastball
FF,"Lazar, Max",676661,683021,strikeout,swinging_strike,Michael Stefanic strikes out swinging. Tyler Heineman to 2nd. Addison Barger steals (1) 3rd base. Tyler Heineman steals (1) 2nd base.,2025,4-Seam Fastball
FF,"Lazar, Max",676661,683021,No event,ball,Michael Stefanic strikes out swinging. Tyler Heineman to 2nd. Addison Barger steals (1) 3rd base. Tyler Heineman steals (1) 2nd base.,2025,4-Seam Fastball
CU,"Lazar, Max",676661,683021,No event,foul,Michael Stefanic strikes out swinging. Tyler Heineman to 2nd. Addison Barger steals (1) 3rd base. Tyler Heineman steals (1) 2nd base.,2025,Curveball
FC,"Lazar, Max",676661,683021,No event,ball,Michael Stefanic strikes out swinging. Tyler Heineman to 2nd. Addison Barger steals (1) 3rd base. Tyler Heineman steals (1) 2nd base.,2025,Cutter
