pitch_type,player_name,pitcher,batter,events,description,des,game_year,pitch_name
SL,"Romano, Jordan",605447,641857,strikeout,swinging_strike,Ryan McMahon strikes out swinging.,2025,Slider
SL,"Romano, Jordan",605447,641857,No event,ball,Ryan McMahon strikes out swinging.,2025,Slider
SL,"Romano, Jordan",605447,641857,No event,foul,Ryan McMahon strikes out swinging.,2025,Slider
FF,"Romano, Jordan",605447,641857,No event,ball,Ryan McMahon strikes out swinging.,2025,4-Seam Fastball
FF,"Romano, Jordan",605447,641857,No event,ball,Ryan McMahon strikes out swinging.,2025,4-Seam Fastball
SL,"Romano, Jordan",605447,641857,No event,called_strike,Ryan McMahon strikes out swinging.,2025,Slider
SL,"Romano, Jordan",605447,641857,No event,foul,Ryan McMahon strikes out swinging.,2025,Slider
SL,"Romano, Jordan",605447,678662,field_out,hit_into_play,"Ezequiel Tovar grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Slider
SL,"Romano, Jordan",605447,678662,No event,ball,"Ezequiel Tovar grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Slider
SL,"Romano, Jordan",605447,678662,No event,called_strike,"Ezequiel Tovar grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Slider
FF,"Romano, Jordan",605447,686668,double,hit_into_play,Brenton Doyle doubles (1) on a sharp line drive to center fielder Brandon Marsh.,2025,4-Seam Fastball
FF,"Romano, Jordan",605447,686668,No event,called_strike,Brenton Doyle doubles (1) on a sharp line drive to center fielder Brandon Marsh.,2025,4-Seam Fastball
SL,"Romano, Jordan",605447,671289,field_out,hit_into_play,"Tyler Freeman grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Slider
FF,"Romano, Jordan",605447,671289,No event,called_strike,"Tyler Freeman grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,4-Seam Fastball
SL,"Romano, Jordan",605447,686668,field_out,hit_into_play,"Brenton Doyle grounds out, shortstop Edmundo Sosa to first baseman Bryce Harper.",2025,Slider
FF,"Romano, Jordan",605447,686668,No event,ball,"Brenton Doyle grounds out, shortstop Edmundo Sosa to first baseman Bryce Harper.",2025,4-Seam Fastball
SL,"Romano, Jordan",605447,687597,strikeout,swinging_strike,Jordan Beck strikes out swinging.,2025,Slider
FF,"Romano, Jordan",605447,687597,No event,foul_tip,Jordan Beck strikes out swinging.,2025,4-Seam Fastball
SL,"Romano, Jordan",605447,687597,No event,called_strike,Jordan Beck strikes out swinging.,2025,Slider
FF,"Romano, Jordan",605447,605361,strikeout,swinging_strike,Nick Martini strikes out swinging.,2025,4-Seam Fastball
FF,"Romano, Jordan",605447,605361,No event,ball,Nick Martini strikes out swinging.,2025,4-Seam Fastball
